iter	Passed	Remaining
157	3003	16008
158	3017	15960
159	3036	15940
160	3055	15921
161	3074	15904
162	3096	15898
163	3115	15880
164	3134	15861
165	3153	15841
166	3171	15820
167	3189	15796
168	3209	15779
169	3229	15765
170	3249	15753
171	3268	15733
172	3287	15716
173	3307	15701
174	3327	15688
175	3347	15670
176	3365	15650
177	3384	15631
178	3406	15624
179	3424	15601
180	3444	15584
181	3462	15564
182	3480	15538
183	3500	15525
184	3519	15502
185	3538	15485
186	3557	15468
187	3577	15450
188	3596	15431
189	3614	15410
190	3632	15387
191	3650	15362
192	3669	15342
193	3688	15323
194	3707	15306
195	3727	15290
196	3744	15263
197	3762	15240
198	3782	15224
199	3800	15201
200	3819	15183
201	3839	15166
202	3857	15144
203	3875	15122
204	3894	15101
205	3913	15083
206	3931	15060
207	3949	15039
208	3968	15021
209	3988	15003
210	4007	14984
211	4025	14962
212	4044	14943
213	4062	14922
214	4081	14902
215	4100	14884
216	4118	14861
217	4138	14847
218	4159	14833
219	4179	14816
220	4199	14801
221	4218	14784
222	4238	14767
223	4257	14750
224	4275	14727
225	4294	14707
226	4312	14685
227	4332	14669
228	4352	14653
229	4371	14636
230	4390	14614
231	4408	14592
232	4426	14571
233	4445	14552
234	4463	14531
235	4483	14514
236	4501	14491
237	4520	14473
238	4540	14456
239	4558	14435
240	4576	14414
241	4594	14391
242	4613	14373
243	4628	14339
244	4647	14322
245	4667	14305
246	4686	14287
247	4705	14267
248	4724	14248
249	4744	14233
250	4763	14213
251	4783	14197
252	4801	14176
253	4819	14156
254	4838	14135
255	4858	14119
256	4880	14108
257	4899	14090
258	4917	14069
259	4936	14048
260	4955	14030
261	4974	14011
262	4994	13995
263	5013	13978
264	5033	13960
265	5051	13940
266	5071	13922
267	5091	13906
268	5111	13890
269	5130	13871
270	5149	13853
271	5168	13833
272	5187	13814
273	5205	13792
274	5225	13775
275	5244	13758
276	5264	13740
277	5283	13722
278	5302	13701
279	5320	13680
280	5339	13662
281	5359	13645
282	5378	13626
283	5397	13607
284	5417	13590
285	5436	13571
286	5456	13555
287	5476	13538
288	5495	13520
289	5515	13502
290	5532	13479
291	5551	13460
292	5572	13446
293	5591	13427
294	5611	13411
295	5627	13383
296	5646	13365
297	5666	13347
298	5685	13328
299	5704	13311
300	5724	13293
301	5742	13273
302	5762	13254
303	5782	13239
304	5802	13222
305	5821	13203
306	5839	13182
307	5859	13163
308	5878	13146
309	5897	13127
310	5916	13107
311	5936	13091
312	5956	13074
313	5974	13051
314	5993	13032
315	6011	13012
316	6032	12996
317	6052	12979
318	6070	12958
319	6091	12943
320	6108	12922
321	6127	12902
322	6147	12885
323	6165	12864
324	6184	12845
325	6204	12827
326	6224	12809
327	6244	12793
328	6264	12776
329	6283	12758
330	6302	12738
331	6322	12721
332	6342	12704
333	6361	12684
334	6380	12665
335	6399	12646
336	6420	12632
337	6440	12614
338	6459	12595
339	6478	12575
340	6497	12557
341	6516	12537
342	6537	12521
343	6555	12500
344	6575	12484
345	6595	12465
346	6613	12445
347	6633	12428
348	6651	12408
349	6670	12388
350	6690	12369
351	6710	12352
352	6729	12334
353	6749	12316
354	6767	12295
355	6786	12276
356	6802	12251
357	6821	12232
358	6839	12212
359	6859	12194
360	6878	12176
361	6897	12155
362	6916	12138
363	6936	12118
364	6957	12103
365	6976	12084
366	6996	12066
367	7016	12049
368	7029	12020
369	7048	12002
370	7067	11981
371	7088	11965
372	7106	11945
373	7125	11927
374	7145	11908
375	7164	11889
376	7183	11870
377	7201	11849
378	7219	11829
379	7237	11809
380	7255	11788
381	7274	11769
382	7293	11749
383	7312	11730
384	7331	11710
385	7348	11689
386	7367	11669
387	7384	11647
388	7403	11627
389	7420	11605
390	7437	11584
391	7457	11566
392	7475	11546
393	7494	11527
394	7514	11509
395	7532	11489
396	7552	11471
397	7571	11452
398	7589	11432
399	7607	11410
400	7626	11392
401	7646	11374
402	7667	11359
403	7688	11341
404	7705	11321
